,Наименование вакансии,"Зарплата, верхняя планка","Зарплата, нижняя планка",Валюта,Ссылка,Источник
0,Data Scientist,,,,https://hh.ru/vacancy/79311788,HeadHunter
1,Data Scientist,,,,https://hh.ru/vacancy/79617048,HeadHunter
2,Data Scientist,,,,https://hh.ru/vacancy/79811582,HeadHunter
3,Data Scientist,,,,https://hh.ru/vacancy/79847436,HeadHunter
4,Data Scientist (ChatGPT),,,,https://hh.ru/vacancy/79748204,HeadHunter
5,Data Scientist middle+/Senior,380000.0,250000.0,RUR,https://hh.ru/vacancy/79577718,HeadHunter
6,Data Scientist,,,,https://hh.ru/vacancy/79830140,HeadHunter
7,Data Scientist,,,,https://hh.ru/vacancy/79729655,HeadHunter
8,Data Scientist (Middle+),240000.0,170000.0,RUR,https://hh.ru/vacancy/77954455,HeadHunter
9,Data scientist (computer vision),,225000.0,RUR,https://hh.ru/vacancy/79769301,HeadHunter
10,Data scientist,,,,https://hh.ru/vacancy/79738826,HeadHunter
11,Data Scientist,,,,https://hh.ru/vacancy/79808643,HeadHunter
12,Junior Data Scientist / Младший аналитик данных,,,,https://hh.ru/vacancy/79879865,HeadHunter
13,Data Scientist,,,,https://hh.ru/vacancy/79729498,HeadHunter
14,Data Engineer,6000.0,4000.0,EUR,https://hh.ru/vacancy/79110745,HeadHunter
15,Data Scientist,270000.0,220000.0,RUR,https://hh.ru/vacancy/75789450,HeadHunter
16,Data Scientist,,,,https://hh.ru/vacancy/78976610,HeadHunter
17,Data Scientist (офис),,,,https://hh.ru/vacancy/79843576,HeadHunter
18,Senior\Middle Data Scientist (Big Data),400000.0,250000.0,RUR,https://hh.ru/vacancy/77567000,HeadHunter
19,Data Scientist,,,,https://hh.ru/vacancy/79720387,HeadHunter
20,Стажер Data Scientist (Sber AI Lab),,,,https://hh.ru/vacancy/79735056,HeadHunter
21,Data scientist,,,,https://hh.ru/vacancy/79779951,HeadHunter
22,Head Data Scientist,,350000.0,RUR,https://hh.ru/vacancy/79446454,HeadHunter
23,Data Scientist / Python разработчик,,,,https://hh.ru/vacancy/78771412,HeadHunter
24,Data Scientist,,,,https://hh.ru/vacancy/78656512,HeadHunter
25,Data Scientist (APAC),,,,https://hh.ru/vacancy/78660614,HeadHunter
26,Data Scientist в Маркет,,,,https://hh.ru/vacancy/79843140,HeadHunter
27,Data Scientist,,,,https://hh.ru/vacancy/79811721,HeadHunter
28,Senior Data scientist,,4000.0,USD,https://hh.ru/vacancy/78778781,HeadHunter
29,Data scientist,,,,https://hh.ru/vacancy/78997546,HeadHunter
30,Data Scientist / Machine Learning Engineer,,,,https://hh.ru/vacancy/79772368,HeadHunter
31,Data Scientist (middle/senior),400000.0,,RUR,https://hh.ru/vacancy/70163749,HeadHunter
32,Senior NLP Engineer / Data Scientist,370000.0,,RUR,https://hh.ru/vacancy/77899629,HeadHunter
33,Data Scientist (DMAG),,,,https://hh.ru/vacancy/77316163,HeadHunter
34,Data Scientist в Маркет,,,,https://hh.ru/vacancy/79843141,HeadHunter
35,Data Scientist (LTV),,,,https://hh.ru/vacancy/76536709,HeadHunter
36,Разработчик в области машинного обучения и больших данных (Data Scientist),,,,https://hh.ru/vacancy/78764927,HeadHunter
37,Data scientist (нестандартные ML-модели),,,,https://hh.ru/vacancy/79089106,HeadHunter
38,Аналитик данных (data scientist),,,,https://hh.ru/vacancy/78029161,HeadHunter
39,Эконометрист/Data scientist (Junior/Middle) в консалтинг,,40000.0,RUR,https://hh.ru/vacancy/78876532,HeadHunter
40,Data Scientist/ML Enginee,,,,https://hh.ru/vacancy/79772215,HeadHunter
41,Data Scientist (Computer Vision),,,,https://hh.ru/vacancy/77408771,HeadHunter
42,Data Scientist middle/senior,,,,https://hh.ru/vacancy/78758907,HeadHunter
43,Data Scientist (NLP),,,,https://hh.ru/vacancy/78991481,HeadHunter
44,Data Scientist (NLP),,,,https://hh.ru/vacancy/79054184,HeadHunter
45,Data Scientist (MyTracker),,,,https://hh.ru/vacancy/78642657,HeadHunter
46,Скоринг-аналитик / Data scientist / Аналитик (скоринг),,,,https://hh.ru/vacancy/79402148,HeadHunter
47,"Data Scientist (Инструменты A/B тестирования, Группа анализа и валидации экспериментов)",,,,https://hh.ru/vacancy/79827214,HeadHunter
48,Data Scientist,,,,https://hh.ru/vacancy/79679705,HeadHunter
49,Data Scientist (Почта),,,,https://hh.ru/vacancy/75546387,HeadHunter
50,Middle Data scientist / Аналитик (Нижний Новгород),150000.0,100000.0,RUR,https://hh.ru/vacancy/79722544,HeadHunter
51,Data Scientist,,,,https://hh.ru/vacancy/79679708,HeadHunter
52,Middle/Senior Data scientist,,,,https://hh.ru/vacancy/79324482,HeadHunter
53,Data Scientist,,,,https://hh.ru/vacancy/76461371,HeadHunter
54,Data Scientist Управления модельных рисков и валидации,,,,https://hh.ru/vacancy/79715865,HeadHunter
55,Data Scientist,,,,https://hh.ru/vacancy/79679707,HeadHunter
56,Аналитик/Data Scientist,,,,https://hh.ru/vacancy/79002008,HeadHunter
57,Senior data scientist (ML),,,,https://hh.ru/vacancy/79122624,HeadHunter
58,Аналитик данных/Middle Data scientist (Computer Vision),,,,https://hh.ru/vacancy/77557350,HeadHunter
59,Data Scientist,,,,https://hh.ru/vacancy/77860632,HeadHunter
60,Data Scientist,,,,https://hh.ru/vacancy/77860634,HeadHunter
61,Data Scientist (удаленно),,,,https://hh.ru/vacancy/79105752,HeadHunter
62,Data scientist (Персонализация),,,,https://hh.ru/vacancy/54829296,HeadHunter
63,Middle/Senior Data Scientist (скоринговые модели),,,,https://hh.ru/vacancy/79567481,HeadHunter
64,Data Analyst,,,,https://hh.ru/vacancy/79771602,HeadHunter
65,Data Scientist,,,,https://hh.ru/vacancy/77860633,HeadHunter
66,Data Scientist,,,,https://hh.ru/vacancy/79621585,HeadHunter
67,Senior/Team Lead Data Scientist,250000.0,,RUR,https://hh.ru/vacancy/78446701,HeadHunter
68,Data Scientist,,,,https://hh.ru/vacancy/79591838,HeadHunter
69,Data Scientist (Middle+/Senior),,,,https://hh.ru/vacancy/79079448,HeadHunter
70,Data Scientist (моделист в банк направление кредитные риски),300000.0,,RUR,https://hh.ru/vacancy/79305148,HeadHunter
